file,sample_rate,window_seconds,lag_seconds,window_samples,lag_samples,folds,predictive_gain_median,predictive_gain_mean,predictive_gain_std
3.edf,160.0,10.0,0.1,1600,16,45,-0.14174625108152217,-0.1741549080212346,0.17379959525877928
3.edf,160.0,10.0,0.2,1600,32,45,-0.5169998400673428,-0.5505670395243115,0.3976009829380203
3.edf,160.0,12.0,0.025,1920,4,37,0.36316276576299056,0.3174206473956302,0.14346642827532105
3.edf,160.0,12.0,0.05,1920,8,37,0.22000575167528735,0.18500134560060397,0.1361981450002096
3.edf,160.0,12.0,0.1,1920,16,37,-0.06207521768509716,-0.12607051851681733,0.19139552389118733
3.edf,160.0,12.0,0.2,1920,32,37,-0.42216647500720583,-0.4839901868511543,0.3067381080170621
3.edf,160.0,16.0,0.025,2560,4,26,0.4064602164269897,0.389693099832136,0.10891674771033825
3.edf,160.0,16.0,0.05,2560,8,26,0.3116923516678392,0.2737329864174543,0.1373991179752888
3.edf,160.0,16.0,0.1,2560,16,26,0.026832923593237135,-0.01839897546290186,0.19019236122488564
3.edf,160.0,16.0,0.2,2560,32,26,-0.33042251884910423,-0.3893073840516691,0.2555071648519897
3.edf,160.0,20.0,0.025,3200,4,20,0.45985334208719175,0.4333239045714915,0.09466028882684333
3.edf,160.0,20.0,0.05,3200,8,20,0.3645582884018943,0.3382918984061795,0.10262076331176335
3.edf,160.0,20.0,0.1,3200,16,20,0.1195802455312267,0.08502690893145652,0.13596981417876775
3.edf,160.0,20.0,0.2,3200,32,20,-0.23930194915723446,-0.27147844548059485,0.1708466149509116
